customer_name,shipment_id,shipment_date,origin_city,origin_state,destination_city,destination_state,mode,carrier_name,revenue,cost,on_time_pickup,on_time_delivery,exception_reason,accessorial_amount,account_owner
Blue Ridge Beverage,AP-4001,2026-01-06,Atlanta,GA,Orlando,FL,FTL,BlueLine Transport,1760,1425,true,true,,0,Evan Miller
Blue Ridge Beverage,AP-4002,2026-01-13,Savannah,GA,Nashville,TN,Drayage,Keystone Express,1395,1265,true,true,,0,Evan Miller
Blue Ridge Beverage,AP-4003,2026-01-21,Memphis,TN,Kansas City,MO,FTL,IronHorse Carriers,2325,1990,true,false,detention,225,Evan Miller
Blue Ridge Beverage,AP-4004,2026-01-29,Atlanta,GA,Orlando,FL,FTL,BlueLine Transport,1785,1505,true,true,,0,Evan Miller
Blue Ridge Beverage,AP-4005,2026-02-06,Savannah,GA,Nashville,TN,Drayage,Keystone Express,1410,1335,false,false,carrier capacity,135,Evan Miller
Blue Ridge Beverage,AP-4006,2026-02-14,Memphis,TN,Kansas City,MO,FTL,IronHorse Carriers,2350,2015,true,true,,0,Evan Miller
Blue Ridge Beverage,AP-4007,2026-02-22,Atlanta,GA,Orlando,FL,FTL,BlueLine Transport,1810,1665,true,false,receiver delay,85,Evan Miller
Blue Ridge Beverage,AP-4008,2026-03-03,Savannah,GA,Nashville,TN,Drayage,Keystone Express,1435,1360,true,true,,0,Evan Miller
Blue Ridge Beverage,AP-4009,2026-03-12,Memphis,TN,Kansas City,MO,FTL,IronHorse Carriers,2375,2075,true,true,,0,Evan Miller
Blue Ridge Beverage,AP-4010,2026-03-20,Atlanta,GA,Orlando,FL,FTL,BlueLine Transport,1830,1705,false,false,missed pickup,110,Evan Miller
Blue Ridge Beverage,AP-4011,2026-03-28,Savannah,GA,Nashville,TN,Drayage,Keystone Express,1450,1305,true,true,,0,Evan Miller
Blue Ridge Beverage,AP-4012,2026-04-07,Memphis,TN,Kansas City,MO,FTL,IronHorse Carriers,2410,2110,true,false,weather,150,Evan Miller
Blue Ridge Beverage,AP-4013,2026-04-16,Atlanta,GA,Orlando,FL,FTL,BlueLine Transport,1855,1495,true,true,,0,Evan Miller
Blue Ridge Beverage,AP-4014,2026-04-24,Savannah,GA,Nashville,TN,Drayage,Keystone Express,1475,1540,true,false,appointment delay,190,Evan Miller
Blue Ridge Beverage,AP-4015,2026-04-30,Memphis,TN,Kansas City,MO,FTL,IronHorse Carriers,2435,2090,true,true,,0,Evan Miller
Keystone Medical Products,AP-5001,2026-01-08,Newark,NJ,Boston,MA,LTL,Keystone Express,1325,1075,true,true,,0,Luis Romero
Keystone Medical Products,AP-5002,2026-01-16,Denver,CO,Salt Lake City,UT,FTL,BlueLine Transport,2180,1845,true,true,,0,Luis Romero
Keystone Medical Products,AP-5003,2026-01-25,Los Angeles,CA,Phoenix,AZ,Intermodal,Piedmont Intermodal,2295,1920,true,false,weather,140,Luis Romero
Keystone Medical Products,AP-5004,2026-02-04,Newark,NJ,Boston,MA,LTL,Keystone Express,1340,1125,true,true,,0,Luis Romero
Keystone Medical Products,AP-5005,2026-02-13,Denver,CO,Salt Lake City,UT,FTL,BlueLine Transport,2210,2025,false,false,missed pickup,130,Luis Romero
Keystone Medical Products,AP-5006,2026-02-23,Los Angeles,CA,Phoenix,AZ,Intermodal,Piedmont Intermodal,2325,1935,true,true,,0,Luis Romero
Keystone Medical Products,AP-5007,2026-03-04,Newark,NJ,Boston,MA,LTL,Keystone Express,1365,1245,true,false,receiver delay,75,Luis Romero
Keystone Medical Products,AP-5008,2026-03-14,Denver,CO,Salt Lake City,UT,FTL,BlueLine Transport,2235,1875,true,true,,0,Luis Romero
Keystone Medical Products,AP-5009,2026-03-23,Los Angeles,CA,Phoenix,AZ,Intermodal,Piedmont Intermodal,2350,2015,true,false,detention,260,Luis Romero
Keystone Medical Products,AP-5010,2026-04-02,Newark,NJ,Boston,MA,LTL,Keystone Express,1380,1130,true,true,,0,Luis Romero
Keystone Medical Products,AP-5011,2026-04-11,Denver,CO,Salt Lake City,UT,FTL,BlueLine Transport,2260,1910,true,true,,0,Luis Romero
Keystone Medical Products,AP-5012,2026-04-19,Los Angeles,CA,Phoenix,AZ,Intermodal,Piedmont Intermodal,2385,2150,false,false,carrier capacity,210,Luis Romero
Keystone Medical Products,AP-5013,2026-04-23,Newark,NJ,Boston,MA,LTL,Keystone Express,1395,1205,true,true,,0,Luis Romero
Keystone Medical Products,AP-5014,2026-04-27,Denver,CO,Salt Lake City,UT,FTL,BlueLine Transport,2280,1965,true,false,appointment delay,95,Luis Romero
Keystone Medical Products,AP-5015,2026-04-30,Los Angeles,CA,Phoenix,AZ,Intermodal,Piedmont Intermodal,2410,2035,true,true,,0,Luis Romero
